Year,Class,Area (kmÂ²),Percentage (%)
2014,Forest,35627.52112588224,73.98657236263062
2015,Forest,37642.602772941056,78.17123016045919
2016,Forest,34020.53080941167,70.64938522251202
2017,Forest,36624.62921647045,76.05723592737907
2018,Forest,36496.410215293996,75.7909674891319
2019,Forest,38197.969687058685,79.32454347221038
2020,Forest,37342.13806941166,77.54726439389496
2021,Forest,34823.41208117639,72.31670395350471
2022,Forest,38178.94014352929,79.28502540710582
2023,Forest,38772.579451764585,80.51781781724475
2024,Forest,38893.707536470465,80.76936076834073
2014,Water,1386.3870811764705,2.8790672172126643
2015,Water,1499.0765717647057,3.113086000626071
2016,Water,1642.0256752941175,3.409943987323569
2017,Water,1674.8231152941178,3.4780534176511906
2018,Water,1996.6607964705884,4.146403786548614
2019,Water,1856.3247141176473,3.854972180195542
2020,Water,1308.9571482352942,2.718270867774133
2021,Water,1235.887605882353,2.566529606750143
2022,Water,1152.0777352941175,2.392484237916597
2023,Water,960.8042999999999,1.9952726044876166
2024,Water,938.4215188235293,1.9487909743641327
2014,Agriculture,4333.9937117646905,9.000270836741354
2015,Agriculture,3029.3444364705915,6.2909459956067515
2016,Agriculture,3978.5251482352846,8.26208025353227
2017,Agriculture,2923.762048235292,6.0716863120663405
2018,Agriculture,1804.4556494117662,3.7472572960843427
2019,Agriculture,2221.1205635294136,4.612532449817657
2020,Agriculture,3879.54807529412,8.056537624183216
2021,Agriculture,2951.9466070588246,6.130216314575863
2022,Agriculture,4212.105299999995,8.747148937933652
2023,Agriculture,3237.360381176469,6.722926281049115
2024,Agriculture,3694.1001282352977,7.671423602186296
2014,Exposed Soil,6806.134669411769,14.134089583415363
2015,Exposed Soil,5983.012807058824,12.424737843307973
2016,Exposed Soil,8512.954955294124,17.678590536632136
2017,Exposed Soil,6930.822208235301,14.39302434290341
2018,Exposed Soil,7856.509927058817,16.315371428235142
2019,Exposed Soil,5878.6216235294005,12.207951897776411
2020,Exposed Soil,5623.393295294121,11.6779271141477
2021,Exposed Soil,9142.790294117636,18.986550125169288
2022,Exposed Soil,4610.913409411768,9.575341417043926
2023,Exposed Soil,5183.292455294124,10.763983297218507
2024,Exposed Soil,4627.807404705886,9.610424655108844
